postcode, Installations Quantity Total ,SGU Rated Output In kW Total,latitude,longitude
3566,122,1033.345,-35.9553896,144.3576473
3567,146,1828.29,-35.9048344,144.2374759
3568,629,5115.445,-35.8021206,144.215646
3570,180,801.695,-36.469814,144.3904526
3571,76,557.952,-36.3797092,144.1283863
3572,27,513.87,-36.3147326,144.3248554
3573,68,739.98,-36.1663341,144.3904526
3575,158,1104.76,-36.0765288,144.1283863
3576,15,203.952,-36.1415403,143.9324048
3579,1060,7526.428,-35.7583662,143.8671868
3580,230,1457.35,-35.6445701,144.1174856
3581,46,270.525,-35.6026039,143.8020236
3583,32,290.19,-35.5135995,143.6827007
3584,200,1587.85,-35.4661938,143.6285244
3585,1740,13367.687,-35.4094202,143.5202874
3586,127,1029.548,-35.2818109,143.5094722
3588,92,631.855,-35.2972762,143.4446136
3589,56,804.488,-35.2667175,143.4662269
3590,56,571.72,-35.2285875,143.4662269
3591,33,232.585,-35.205935,143.4014055
3594,145,771.815,-35.1526896,143.3582223
3595,147,669.245,-35.1832549,143.3366401
3596,18,403.815,-35.1548064,143.2827118
3597,81,1498.017,-34.9071543,143.1749726
3599,28,512.045,-34.7507483,143.1104044
3607,27,510.255,-36.8378153,145.1706992
3608,666,4084.835,-36.7719697,145.1155133
3610,383,2499.414,-36.5881288,145.2480193
3612,436,2141.36,-36.602205,145.005249
3614,232,1529.32,-36.4899607,145.325409
3616,1081,7177.785,-36.4591947,145.2038278
3617,30,245.66,-36.4005389,145.1706992
3618,166,1403.18,-36.3624013,145.1706992
3619,84,417.29,-25.274398,133.775136
3620,1656,10782.337,-36.2508546,145.093449
3621,476,3356.08,-36.2331845,144.9832134
3622,89,851.625,-36.2037168,144.8951287
3623,203,1317.245,-36.4617737,144.9832134
3624,128,1016.09,-36.4031385,144.9501708
3629,1483,8668.549,-36.2976747,145.2922335
3630,4518,26761.761,-36.4615673,145.5579927
3631,2791,20247.598,-36.4324574,145.4693163
3632,52,623.705,-25.274398,133.775136
3633,138,728.63,-36.2927129,145.480396
3634,384,2677.222,-36.2266803,145.4250118
3635,139,977.835,-36.1592629,145.3364703
3636,1159,6832.56,-36.102425,145.5136433
3637,132,1148.642,-35.9530351,145.2922335
3638,460,3272.425,-36.0388917,145.2038278
