postcode, Installations Quantity Total ,SGU Rated Output In kW Total,latitude,longitude
3835,75,602.19,-38.2926842,146.1812023
3840,2091,13705.227,-38.2671612,146.4495924
3842,642,3156.117,-38.3219988,146.4160017
3844,3834,23398.455,-38.2728501,146.5840737
3847,396,2398.25,-38.2317005,146.8086278
3850,1822,11140.249,-38.096577,147.0675028
3851,1461,7429.377,-38.2064012,147.1464245
3852,4,115.62,-38.1054124,147.1407852
3853,9,36.365,-25.274398,133.775136
3854,243,1404.01,-38.1223546,146.5840737
3856,209,1246.09,-38.0326139,146.5392256
3857,88,438.975,-38.0132354,146.6850587
3858,648,4722.124,-37.557605,146.6513853
3859,182,1851.307,-37.920365,146.8985944
3860,1155,6643.215,-37.6951451,146.9661233
3862,670,3841.626,-37.4228208,147.1915504
3864,50,312.156,-37.8199648,147.304453
3865,122,913.309,-37.7994292,147.468383
3869,342,1897.108,-38.3637637,146.3712327
3870,289,1229.638,-38.4631226,146.3600438
3871,547,3037.121,-38.4049813,146.1812023
3873,75,444.09,-38.3016024,146.6738329
3874,159,850.725,-38.5234965,146.8985944
3875,3280,19416.316,-37.6874281,147.5532762
3878,305,1605.422,-37.9067566,147.6779106
3880,910,4313.896,-37.9215501,147.7573
3882,274,1477.561,-37.8071978,147.7573
3885,413,1967.244,-37.2938907,148.2804541
3886,73,499.41,-37.7514308,148.42875
3887,109,643.599,-37.6989476,148.0299382
3888,670,3554.274,-37.2474912,148.6458369
3889,44,219.714,-37.609984,148.8289611
3890,67,338.242,-37.5621735,149.1960526
3891,45,174.965,-37.5126059,149.5642369
3892,329,1462.422,-37.5130708,149.7718067
3893,5,38.815,-37.4768667,147.8026919
3895,33,179.445,-37.3755587,147.848103
3896,66,385.425,-37.1819263,147.7799935
3898,143,841.726,-37.022052,147.5079912
3900,31,157.645,-36.9009009,147.8708157
3902,79,430.762,-37.8149759,147.8140428
3903,160,853.938,-37.8097254,147.8594587
3904,437,2213.077,-37.8600459,147.8367484
3909,1586,8489.245,-37.8136883,148.0299382
3910,2714,13606.442,-38.1608986,145.1927835
3911,488,3377.579,-38.1972006,145.1762197
3912,2028,11539.58,-38.2242212,145.2148736
3913,507,3239.406,-38.2651079,145.1706992
3915,1317,8049.716,-38.3059216,145.1265477
3916,269,1967.243,-38.4161358,145.0548502
3918,764,3853.118,-38.3329437,145.165179
3919,424,2042.515,-38.3534427,145.1983055
3921,82,326.889,-38.3489348,145.3364703
3922,2172,12928.769,-38.4898703,145.2038278
3923,198,1004.362,-38.4724137,145.2756505
3925,934,5750.921,-38.5282425,145.3862638
3926,700,4295.201,-38.3541527,145.1044805
3927,401,2187.652,-38.3793743,145.165179
3928,114,1047.856,-38.4018779,144.9721978
3929,330,2462.017,-38.4574538,144.9721978
3930,2108,13019.186,-38.1952209,145.0879338
3931,3081,15715.523,-38.2277083,145.0603633
3933,170,1684.379,-38.2501593,145.1265477
3934,2556,14047.374,-38.287039,145.016269
3936,1668,9481.579,-38.3352183,144.9942305
3937,334,2825.252,-38.3687813,145.0383133
3938,525,2575.962,-38.3562816,144.9336544
3939,2297,12620.907,-38.4218526,144.8951287
3940,501,2576.866,-38.3745297,144.8786231
3941,2094,11014.753,-38.3862088,144.8181305
3942,563,3148.881,-38.3645949,144.7686693
3943,499,3077.61,-38.3477833,144.746696
3944,212,1764.338,-38.3234069,144.7027669
3945,257,1526.291,-38.3930465,145.6911745
3946,60,377.345,-38.4506894,145.7245012
3950,805,4617.374,-38.4372473,145.8245558
3951,223,1408.807,-38.5195374,145.7356129
3953,1274,7822.455,-38.4586497,146.002705
3954,82,414.05,-38.5615123,145.9469958
3956,866,4688.45,-38.675332,145.8690603
3957,64,577.422,-38.5941498,146.1030672
3958,41,247.501,-38.6765966,146.013851
3959,433,2202.185,-38.760009,146.0696009
3960,664,3569.385,-38.9962856,146.3376699
3962,225,1072.785,-38.6183432,146.3488562
3964,33,150.295,-38.6847281,146.2733747
3965,71,393.376,-38.692708,146.4775937
3966,103,575.215,-38.6286899,146.4383942
3967,32,178.26,-38.6705951,146.5392256
3971,774,4207.692,-38.5613687,146.6065057
3975,2980,15467.698,-38.0704681,145.2424941
3976,3123,14048.307,-38.0349647,145.2756505
3977,16077,86246.646,-38.1347885,145.2811778
3978,6949,45338.355,-38.140252,145.3807298
3979,74,440.65,-38.4509941,145.6134608
3980,600,3362.347,-38.2092442,145.3917982
3981,823,6090.728,-38.1825837,145.5912693
3984,1437,8015.861,-38.3114378,145.5579927
3987,288,1519.698,-38.3054452,145.6800684
3988,206,1285.79,-38.310594,145.7800733
3990,29,206.73,-38.4399786,145.5247285
3991,115,629.162,-38.4734903,145.4582381
3992,244,1437.255,-38.5123976,145.6023644
3995,2235,12171.273,-38.6238593,145.6023644
3996,1401,7496.969,-38.6086874,145.7800733
