Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Sector
TRONOX AUSTRALIND PTY LTD,20 125 123 784,"135,277","42,772","2,570,978",Other
PILBARA MINERALS LIMITED,95 112 425 788,"134,931",58,"1,924,320",Other
RAMELIUS RESOURCES LIMITED,51 001 717 540,"133,396","40,593","2,281,049",Other
TASMANIAN WATER & SEWERAGE CORPORATION PTY LTD,47 162 220 653,"133,034","14,987","427,425",Other
AUSTRALIAN POSTAL CORPORATION,28 864 970 579,"131,135","132,228","2,516,563",Other
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63 604 564 597,"127,541",362,"710,443",Other
SILVER LAKE RESOURCES LIMITED,38 108 779 782,"126,398","29,655","2,084,882",Other
RIO TINTO SHIPPING (ASIA) PTE LTD,71 242 047 864,"122,674",0,"1,661,107",Other
V/LINE CORPORATION,91 273 289 190,"119,488","15,034","1,753,462",Other
RTA HOLDCO AUSTRALIA 1 PTY LTD,17 128 762 318,"118,473",0,"1,464,806",Other
TRANSDEV AUSTRALASIA PTY LTD,40 079 303 816,"117,890","17,978","1,894,781",Other
CCP VI VG HOLDINGS PTY LTD,41 630 151 530,"116,620","26,532","1,731,690",Other
LINDSAY AUSTRALIA LIMITED,81 061 642 733,"116,183","9,419","1,695,732",Other
BLONDIE TRADING PTY LTD,41 621 811 845,"115,953","1,261","1,721,265",Other
FULTON HOGAN AUSTRALIA PTY LTD,42 135 849 115,"114,921","21,836","1,886,637",Other
POWER AND WATER CORPORATION,15 947 352 360,"114,703","74,005","1,438,277",Other
CEVA PTY LTD,27 122 147 433,"114,090","6,189","1,650,893",Other
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73 009 401 736,"111,939","399,808","4,402,926",Other
COMFORTDELGRO CORPORATION AUSTRALIA PTY LTD,84 002 072 004,"111,003","3,408","1,591,658",Other
TEYS AUSTRALIA PTY LTD,38 009 872 600,"110,827","97,193","1,515,970",Other
AUSCAN HOLDINGS PTY LIMITED,70 084 400 886,"110,698",44,"1,523,121",Other
BARALABA COAL COMPANY PTY LTD,42 096 909 634,"110,125","1,709","1,100,356",Other
A.A. SCOTT PROPRIETARY LIMITED,14 007 601 667,"108,890","3,448","1,571,310",Other
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED,59 095 905 294,"104,604","12,207","2,112,186",Other
ATCO GAS AUSTRALIA GP PTY LTD,76 151 245 779,"103,813",249,"32,425",Other
BIG BEN HOLDINGS PTY. LIMITED,63 008 434 562,"103,006","31,961","1,423,385",Other
IGO LIMITED,46 092 786 304,"102,195","43,491","1,790,962",Other
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23 003 502 654,"100,801","102,794","2,301,251",Other
ST BARBARA LIMITED,36 009 165 066,"95,886",880,"1,766,612",Other
TWENTIETH SUPER PACE NOMINEES PTY. LTD.,16 005 855 327,"95,419","4,353","1,378,434",Other
MGM GROUP HOLDINGS PTY LTD,89 107 407 385,"94,678",512,"1,351,234",Other
TERRACOM LIMITED,35 143 533 537,"94,379","21,712","536,587",Other
BEGA CHEESE LIMITED,81 008 358 503,"94,202","207,418","2,856,199",Other
CIMIC GROUP LIMITED,57 004 482 982,"94,091","61,438","1,681,008",Other
AIRWORK FLIGHT OPERATIONS PTY LTD,13 119 011 871,"93,854",0,"1,336,911",Other
DACIAN GOLD LIMITED,61 154 262 978,"92,937",51,"1,568,563",Other
RON FINEMORE TRANSPORT PTY. LTD.,30 106 495 087,"92,756",428,"1,321,894",Other
MAINFREIGHT DISTRIBUTION PTY LIMITED,85 003 840 319,"91,407","7,569","1,337,738",Other
KEOLIS AUSTRALIA PTY LTD,68 132 482 850,"89,995","104,449","1,758,297",Other
AUSTRALIAN PACIFIC COAL LIMITED,49 089 206 986,"89,809","1,871","8,927",Other
CLEANCO QUEENSLAND LIMITED,85 628 008 159,"89,688","457,672","3,112,485",Other
OZ MINERALS LIMITED,40 005 482 824,"87,400","227,546","3,631,661",Other
BAPSH PTY LIMITED,54 605 702 618,"87,196","3,364","1,255,827",Other
CITY OF COCKBURN,27 471 341 209,"86,355",46,"540,975",Other
SANDFIRE RESOURCES LIMITED,55 105 154 185,"85,351",92,"1,299,473",Other
WESTSIDE CORPORATION PTY LTD,74 117 145 516,"84,151",613,"1,022,058",Other
FOOD INVESTMENTS PTY. LIMITED,85 008 426 177,"83,395","121,205","2,036,890",Other
GOLDFIELDS POWER PTY LTD,81 062 186 243,"82,021",0,"1,106,923",Other
J.J. RICHARDS & SONS PTY LTD,40 000 805 425,"82,010","4,024","1,199,445",Other
GRINDING MEDIA PTY LTD,47 615 611 759,"81,908","162,724","2,162,435",Other
CAPRICORN METALS LTD,84 121 700 105,"79,684",17,"1,365,194",Other
A.J. BUSH & SONS PTY LTD,77 000 134 010,"79,447","14,297","812,428",Other
KINETIC TCO PTY LTD,20 601 251 067,"78,747","2,079","1,436,767",Other
BORG MANUFACTURING PTY LIMITED,31 003 246 357,"77,855","151,251","3,730,787",Other
NH FOODS AUSTRALIA PTY LTD,87 001 548 401,"76,511","45,990","730,041",Other
NORTON GOLD FIELDS PTY LTD,23 112 287 797,"75,246","70,808","1,471,805",Other
KARARA MINING LIMITED,68 070 871 831,"74,353","359,965","3,005,801",Other
COLLINS TRANSPORT GROUP PTY LTD,66 098 659 342,"74,315","9,649","1,111,308",Other
KARORA RESOURCES PTY LTD,74 633 381 218,"73,408","18,769","1,177,889",Other
THE TRUSTEE FOR COSTA'S UNIT TRUST,72 534 822 931,"73,365","60,236","1,153,808",Other
LOCHARD ENERGY (IONA OPERATIONS HOLDING) PTY LTD,23 608 441 041,"73,342","3,326","993,985",Other
VERMILION OIL & GAS AUSTRALIA PTY LTD,29 113 023 591,"73,012",89,"781,456",Other
TRONOX MINERAL HOLDINGS AUSTRALIA PTY LTD,21 102 888 559,"72,678","71,450","1,366,372",Other
ROMALY HOLDINGS PTY LTD,82 001 094 837,"72,226",425,"1,028,301",Other
RESOURCECO HOLDINGS PTY LTD,64 107 343 288,"71,927","10,908","465,632",Other
BINGO INDUSTRIES LIMITED,72 617 748 231,"71,663","7,062","496,344",Other
RAVENSWOOD GOLD GROUP PTY LTD,18 637 523 712,"70,815","79,103","1,382,077",Other
FORESTRY CORPORATION OF NEW SOUTH WALES,43 141 857 613,"70,749","1,002","1,011,000",Other
CONSOLIDATED MINERALS HOLDINGS (AUSTRALIA) PTY LIMITED,88 127 662 257,"70,591",31,"1,027,362",Other
LINEAGE AP HOLDINGS PTY LTD,27 637 083 544,"70,253","90,870","1,389,466",Other
AUSTRALIAN ENERGY MARKET OPERATOR LIMITED,94 072 010 327,"69,725",0,"1,353,097",Other
GASCOYNE RESOURCES LIMITED,57 139 522 900,"68,113",22,"1,139,908",Other
CENTRAL PETROLEUM LIMITED,72 083 254 308,"67,841",119,"1,144,302",Other
ICON WATER LIMITED,86 069 381 960,"67,498","110,020","692,558",Other
CCCI AUSTRALIA PTY LTD,95 603 555 988,"67,368","90,158","1,570,575",Other
DENISON GAS LIMITED,86 625 883 561,"67,032",83,"658,579",Other
RED 5 LIMITED,73 068 647 610,"66,785",5,"1,084,178",Other
SEAROAD HOLDINGS PTY LTD,16 123 749 655,"66,483",859,"988,643",Other
BILLABONG GOLD PTY LTD,34 613 900 922,"65,652",0,"1,217,552",Other
BAIADA PTY LTD,47 000 426 808,"65,331","164,016","2,229,508",Other
SOLSTAD AUSTRALIA PTY LTD,40 105 011 989,"64,338",23,"914,749",Other
KNAUF GYPSUM PTY LTD,84 004 231 976,"64,180","35,579","1,388,686",Other
B.M.D. HOLDINGS PTY. LIMITED,47 010 093 348,"63,312",724,"906,313",Other
"DIAMOND OFFSHORE GENERAL, LLC",91 050 122 051,"63,279",95,"825,918",Other
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED,23 070 571 934,"63,175","29,176","1,402,543",Other
TEEKAY HOLDINGS AUSTRALIA PTY LTD,12 125 391 880,"62,536",155,"889,912",Other
WAGGA WAGGA CITY COUNCIL,56 044 159 537,"62,015",50,"7,201",Other
